id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
16566985,Rental unit in North Kingstown · ★4.97 · 1 bedroom · 1 bed · 1 bath,46951499,Nancy,Washington,North Kingstown,41.57339,-71.44875,Entire home/apt,167,1,154,2023-12-05,1.83,1,0,20,
16569695,Rental unit in Providence · 1 bedroom · 1 bed · 1 bath,40388760,Tara,Providence,Providence,41.80726,-71.42683,Entire home/apt,79,30,1,2023-06-30,0.16,1,358,1,
16587674,Home in North Kingstown · ★4.93 · 3 bedrooms · 3 beds · 2 baths,9251061,Ross,Washington,North Kingstown,41.57286,-71.44752,Entire home/apt,363,7,14,2023-09-23,0.18,1,269,2,RE.02858.STR
16695266,Home in Newport · ★4.83 · 3 bedrooms · 4 beds · 2 baths,4483032,James,Newport,Newport,41.49095,-71.31581,Entire home/apt,683,3,6,2022-06-22,0.07,4,225,0,RE.00342-STR
16708343,Home in Jamestown · ★4.95 · 3 bedrooms · 4 beds · 2 baths,57808246,Lauren,Newport,Jamestown,41.53316,-71.38689,Entire home/apt,325,2,65,2023-10-01,0.79,1,315,6,RE.02555-STR
16737170,Home in Prudence Island · ★4.71 · 1 bedroom · 1 bed · 1 bath,110999973,James,Newport,Portsmouth,41.6323,-71.33143,Entire home/apt,250,2,14,2023-09-11,0.18,1,362,8,
16739088,Townhouse in Providence · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,5461195,Kenneth,Providence,Providence,41.84524,-71.40373,Entire home/apt,250,5,18,2023-11-06,0.63,1,355,9,RE.00286-STR
16779587,Rental unit in Newport · ★4.88 · 5 bedrooms · 9 beds · 2 baths,80881281,Paul,Newport,Newport,41.48961,-71.31383,Entire home/apt,900,2,116,2023-10-09,1.40,3,355,10,
16889556,Guest suite in Providence · ★4.85 · 1 bedroom · 1 bed · 1 bath,170524,Brent,Providence,Providence,41.81667,-71.43121,Entire home/apt,79,2,118,2023-12-28,1.42,1,245,33,220843
16905094,Home in Narragansett · ★4.85 · 3 bedrooms · 5 beds · 2 baths,112566308,Karra,Washington,Narragansett,41.48104,-71.43507,Entire home/apt,364,2,48,2023-10-09,0.60,1,261,14,
16943249,Loft in Providence · ★4.82 · 1 bedroom · 1 bed · 1 bath,71423561,Sarah,Providence,Providence,41.82013,-71.42632,Entire home/apt,77,3,230,2023-12-14,2.74,19,74,46,RE.02257-STR
16981908,Guest suite in Tiverton · ★4.91 · 2 bedrooms · 3 beds · 1 bath,69085157,Alan,Newport,Tiverton,41.59276,-71.19833,Entire home/apt,85,1,205,2023-12-27,7.48,1,0,109,210889
16982293,Home in South Kingstown · ★4.91 · 1 bedroom · 2 beds · 2 baths,17525513,Chas & Em,Washington,South Kingstown,41.4795,-71.56393,Private room,46,1,57,2023-12-28,0.72,10,18,2,
17022866,Home in Middletown · ★4.83 · 2 bedrooms · 2 beds · 1 bath,27268443,Lisel,Newport,Middletown,41.49219,-71.27763,Entire home/apt,250,2,35,2023-10-09,0.43,40,180,7,State of RI-RE-04631-STR Middletown - STR-784
17042163,Home in Middletown · ★4.97 · 8 bedrooms · 16 beds · 6 baths,106927354,Heidi,Newport,Middletown,41.49137,-71.28382,Entire home/apt,1396,7,30,2023-05-29,0.54,2,297,1,
17098214,Rental unit in Cumberland · ★4.97 · 1 bedroom · 1 bed · 1 bath,97818827,Manny,Providence,Cumberland,41.97155,-71.40641,Entire home/apt,135,28,36,2023-10-10,0.76,5,266,4,
17134663,Rental unit in Newport · ★4.83 · 2 bedrooms · 2 beds · 1 bath,9963334,Sharon,Newport,Newport,41.4748,-71.3137,Entire home/apt,552,1,89,2023-08-06,1.06,2,365,1,RE.03582-STR
17153338,Home in Little Compton · ★4.91 · 4 bedrooms · 7 beds · 2.5 baths,570818,Kristin,Newport,Little Compton,41.55404,-71.1268,Entire home/apt,529,3,67,2023-07-29,0.84,7,333,2,RE.01078-STR
17158441,Home in Providence · ★4.97 · 4 bedrooms · 12 beds · 2 baths,96244386,Gabriel,Providence,Providence,41.84659,-71.44297,Entire home/apt,1799,2,36,2023-08-27,0.45,13,346,4,00239
17161909,Home in Westerly · ★4.99 · 5 bedrooms · 7 beds · 3 baths,64731962,Donna,Washington,Westerly,41.34123,-71.74529,Entire home/apt,1051,4,75,2023-09-02,0.96,1,303,2,RE.00197-STR
17217065,Home in Middletown · 4 bedrooms · 9 beds · 3.5 baths,71833386,Madeline,Newport,Middletown,41.48537826538086,-71.27796173095703,Entire home/apt,1400,2,2,2023-08-20,0.43,1,347,2,
17254302,Rental unit in Newport · ★5.0 · 2 bedrooms · 4 beds · 2 baths,116289443,Mike,Newport,Newport,41.48787,-71.30984,Entire home/apt,154,30,11,2023-04-30,0.13,1,317,1,
17265131,Rental unit in Newport · ★4.70 · Studio · 1 bed · 1 bath,94017380,Liliane,Newport,Newport,41.48895,-71.31507,Entire home/apt,191,1,10,2023-07-02,0.18,18,262,1,
17268980,Home in Warwick · ★4.0 · 1 bedroom · 1 bed · 2 shared baths,61220795,Andrey,Kent,Warwick,41.69983,-71.45704,Private room,99,29,7,2023-08-31,0.09,1,364,3,
17327180,Home in North Kingstown · ★4.88 · 1 bedroom · 1 bed · 1 private bath,116973751,Sybil,Washington,North Kingstown,41.52892,-71.44254,Private room,100,2,93,2023-10-15,1.17,2,210,20,
17380373,Rental unit in Providence · ★4.86 · 2 bedrooms · 2 beds · 3 baths,20515434,George,Providence,Providence,41.82961,-71.38993,Entire home/apt,320,5,28,2023-09-04,0.36,8,273,3,
17381227,Home in Portsmouth · ★4.82 · 7 bedrooms · 12 beds · 3 baths,27612979,Chris,Newport,Portsmouth,41.54119,-71.26511,Entire home/apt,814,1,78,2023-08-21,0.98,4,346,10,RE:00741-STR
17382199,Home in Narragansett · ★4.85 · 4 bedrooms · 6 beds · 2 baths,117474358,David,Washington,Narragansett,41.4914,-71.44358,Entire home/apt,300,7,27,2023-08-01,0.34,1,216,1,
